FID,F1,经度,纬度,WGS84经度,WGS84纬度,民族
361,贵州省六盘水市盘州市淤泥彝族乡岩博村,104.743637000000010,26.002662999999998,104.734660000000010,25.999793000000000,彝族
362,贵州省六盘水市六枝特区牂牁镇西陵村,105.483429000000000,26.219214000000001,105.473612000000000,26.216204999999999,
363,贵州省遵义市赤水市元厚镇石梅村五星苗寨,105.926446000000000,28.383279999999999,105.916473999999990,28.381045000000000,
364,贵州省遵义市凤冈县新建镇新建社区长碛古寨,107.691702000000010,28.200683000000001,107.680865999999990,28.198402000000002,
365,贵州省遵义市道真仡佬族苗族自治县河口镇梅江村,107.591263000000000,28.960642000000000,107.580456000000000,28.958224999999999,苗族|仡佬族
366,贵州省遵义市务川仡佬族苗族自治县黄都镇丝棉社区沈家坝寨,107.706130000000000,28.369301000000000,107.695211000000000,28.367070999999999,苗族|仡佬族
367,贵州省安顺市平坝区羊昌乡龙海村,106.329427000000000,26.351013999999999,106.319314000000010,26.348047999999999,苗族
368,贵州省安顺市镇宁布依族苗族自治县丁旗街道幸福村,105.701312000000000,26.142195000000001,105.691470000000000,26.139495000000000,苗族|布依族
369,贵州省安顺市关岭布依族苗族自治县普利乡马马崖村,105.583395999999990,25.753081000000002,105.573766000000010,25.750209999999999,苗族|布依族
370,贵州省安顺市紫云苗族布依族自治县猫营镇沙坎村,106.036063000000000,25.996117999999999,106.025887999999990,25.993534000000000,苗族|布依族
371,贵州省安顺市紫云苗族布依族自治县坝羊镇红院村,106.239168000000010,25.935587000000002,106.229084000000000,25.932798999999999,苗族|布依族
372,贵州省安顺市紫云苗族布依族自治县火花镇九岭村,106.062068999999990,25.697873999999999,106.051907000000000,25.694662999999998,苗族|布依族
373,贵州省安顺市经济技术开发区幺铺镇羊场村,105.916123000000000,26.181704000000000,105.906236000000010,26.179507999999998,汉族|苗族
374,贵州省毕节市金沙县化觉镇前顺村,106.424128999999990,27.198885000000001,106.413793000000000,27.195990999999999,
375,贵州省毕节市织金县官寨乡屯上村,105.903347999999990,26.790652000000001,105.893418999999990,26.788653000000000,汉族|苗族
376,贵州省毕节市纳雍县化作乡枪杆岩村,105.280036000000000,26.945181999999999,105.270341000000000,26.942716999999998,苗族|彝族|布依族
377,贵州省毕节市赫章县可乐彝族苗族乡农场社区顺山苗寨,104.408685000000010,27.242840000000001,104.399760000000000,27.239764000000001,苗族|彝族
378,贵州省毕节市赫章县兴发苗族彝族回族乡中寨村,104.783942999999990,26.954578000000001,104.774911000000000,26.951892999999998,回族|苗族|彝族
